text,emotion
"Honestly, my family cooked dinner together after a long time and felt so much warmth.",love
"Honestly, my teammate finished the project on time and felt on top of the world.",joy
"I lost an important file before submission, it was a really hard day.",sadness
"Today I saw a surprise party waiting at home, nobody saw it coming.",surprise
"Today I received a handmade gift from a sibling, it was such a warm feeling.",love
"Honestly, my friend missed the train home and was devastated.",sadness
My teammate saw the server crash right before the demo and felt so anxious.,fear
She got a rude reply from support and was furious.,anger
"Honestly, my family bumped into a celebrity at the mall and was stunned.",surprise
My colleague spent the whole evening with family and felt so much warmth.,love
"Honestly, they received a handmade gift from a sibling and felt deeply connected.",love
"Today he heard strange noises outside at night, my hands were shaking.",fear
"Today he got selected for the internship, it made my whole day.",joy
We celebrated an anniversary with loved ones and felt so loved.,love
I just opened the box to find a puppy inside — it caught everyone off guard.,surprise
She just spent the whole evening with family — it meant the world to me.,love
"Honestly, my friend got a rude reply from support and couldn't control the anger.",anger
"My sister felt the ground shake during the earthquake drill, it kept me on edge.",fear
They just cooked dinner together after a long time — it was such a warm feeling.,love
"Today my teammate waited two hours for a delayed flight, I couldn't calm down for hours.",anger
"Today he found out the exam was cancelled, nobody saw it coming.",surprise
I felt the ground shake during the earthquake drill and was shaking with worry.,fear
He have to walk home alone late at night and felt a wave of panic.,fear
My friend found the code deleted with no backup and couldn't control the anger.,anger
"Honestly, my family received an unexpected job offer and was completely shocked.",surprise
My teammate found the code deleted with no backup and couldn't control the anger.,anger
"Honestly, they got selected for the internship and was overjoyed.",joy
"Honestly, my teammate reunited with childhood friends and felt so loved.",love
My sister got a heartfelt letter from a close friend and felt truly grateful.,love
My friend just saw the server crash right before the demo — it kept me on edge.,fear
"Honestly, I watched the team lose in the last minute and felt like crying.",sadness
"Today my family learned the flight got upgraded for free, it was unbelievable.",surprise
"Today my family saw a surprise party waiting at home, it was unbelievable.",surprise
My teammate just was accused of cheating unfairly — I couldn't calm down for hours.,anger
"Today my sister didn't get the internship offer, it hurt more than expected.",sadness
